input,output
D4-57420-256|B3-57740-128|D4-57740-128|C#4-57900-256|A3-57900-256|C#4-58220-128|A3-58220-128|C#4-58380-128|E4-58540-128|C#4-58700-128,D4-58860-128|F#4-59020-128|D4-59180-128|E4-59340-128|G4-59500-128|E4-59660-128|F#4-59820-128|A4-59980-128|F#4-60140-128|G4-60300-128|B4-60460-128|G4-60620-128|F#4-60780-128|A4-60940-128|F#4-61100-128|E4-61260-128|G4-61420-128|E4-61580-128|D4-61740-128|F#4-61900-128|D4-62060-128|B3-62220-256|G#3-62220-256|B3-62540-128|G#3-62540-128|C#4-62700-256|A3-62700-256|C#4-63020-128|A3-63020-128|D4-63180-256|B3-63180-256|D4-63500-128|B3-63500-128|E4-63660-256|C#4-63660-256|E4-63980-128|C#4-63980-128|F#4-64140-256|D4-64140-256|F#4-64460-128|D4-64460-128|E4-64620-256|C#4-64620-256|E4-64940-128|C#4-64940-128|D4-65100-256|B3-65100-256|D4-65420-128|B3-65420-128|D4-65580-256|B3-65580-256|G#3-65900-128|F#4-66060-256|D#4-66060-256|F#4-66380-128|D#4-66380-128|G#4-66540-256|E4-66540-256|G#4-66860-128|E4-66860-128|A4-67020-176|F#4-67020-176|A4-67260-128|F#4-67260-128|G#4-67420-256|E4-67420-256|G#4-67740-128|E4-67740-128|E4-67900-256|C#4-67900-256|E4-68220-128|C#4-68220-128|F#4-68380-256|D#4-68380-256|F#4-68700-128|D#4-68700-128|G4-68860-176|E4-68860-176|G4-69100-128|E4-69100-128|F#4-69260-256|D#4-69260-256|F#4-69580-128|D#4-69580-128|B3-69740-256|G#3-69740-256|B3-70060-128|G#3-70060-128|C#4-70220-256|A3-70220-256|C#4-70540-128|A3-70540-128|D4-70700-256|B3-70700-256|D4-71020-128|B3-71020-128|E4-71180-140|C#4-71180-140|F#5-71980-128|B4-71980-128
G#5-74540-140|E5-74540-140|G5-75500-128|E5-75500-128|G5-75660-128|E5-75660-128|G5-75820-128|E5-75820-128|G5-75980-128|E5-75980-128|C#5-76140-128|B4-76300-128|E5-76460-140|G5-76460-140|G#5-77420-128|E5-77420-128|G#5-77580-128|E5-77580-128|G#5-77740-128|E5-77740-128|G#5-77900-128|E5-77900-128|G#5-78060-128|C#5-78060-128|B4-78220-128|G#5-78380-128|E5-78380-128|G#5-78540-128|E5-78540-128|G#5-78700-128|E5-78700-128|G#5-78860-128,E5-78860-128|G#5-79020-128|C#5-79020-128|B4-79180-128|G#5-79340-128|E5-79340-128|G#5-79500-128|E5-79500-128|G#5-79660-128|E5-79660-128|G#5-79820-128|E5-79820-128|G#5-79980-128|E5-79980-128|G#5-80140-128|E5-80140-128|B5-80300-128|F#5-80300-128|D5-80300-128|B5-80460-128|F#5-80460-128|D5-80460-128|B5-80620-128|F#5-80620-128|D5-80620-128|B5-80780-300|G6-81260-176|F#6-81500-384|E6-81980-384|C#6-82460-768|B5-83420-128|A5-83580-256|G5-83900-128|E5-84060-140|E5-84540-128|G5-84700-128|A5-84860-128|B5-85020-128|C#6-85180-128|E6-85340-128|F#6-85500-128|E6-85660-128|F#6-85820-128|E6-85980-128|F#6-86140-128|E6-86300-128|G6-86460-160|E6-86624-256|D6-86944-160|B5-87108-512|B4-87748-128|C#5-87908-128|D5-88068-128|D#5-88228-128|B5-88388-128|D#5-88548-128|D5-88708-128|A#5-88868-128|D5-89028-128|C#5-89188-384|A4-89668-128|B4-89828-128|C5-89988-128|C#5-90148-128|A5-90308-128|C#5-90468-128|C5-90628-128|G#5-90788-128|C5-90948-128|B4-91108-384|G5-91588-300|E5-91588-300|D5-92388-384|B4-92868-128|D5-93028-384|C#5-93508-256|A4-93508-256|C5-93828-140|A4-93828-140|F#5-94308-384|B4-94308-384|A4-94308-384|D#4-94308-384|B3-94308-384|F#5-94788-128|B4-94788-128|A4-94788-128|D#4-94788-128|B3-94788-128|B3-94948-142|D#4-94948-142|A4-94948-142|B4-94948-142|F#5-94948-155|G#5-95908-128|E5-96068-128|C#5-96228-128|G#5-96388-128|E5-96548-128|C#5-96708-128
A3-51260-256|C#4-51580-128|A3-51580-128|D4-51740-256|B3-51740-256|D4-52060-128|B3-52060-128|C#4-52220-256|A3-52220-256|C#4-52540-128|A3-52540-128,E4-52700-256|C#4-52700-256|E4-53020-128|C#4-53020-128|F#4-53180-256|D4-53180-256|F#4-53500-128|D4-53500-128|G4-53660-176|E4-53660-176|G4-53900-128|E4-53900-128|F#4-54060-256|D4-54060-256|F#4-54380-128|D4-54380-128|B3-54540-256|G#3-54540-256|B3-54860-128|G#3-54860-128|C#4-55020-256|A3-55020-256|C#4-55340-128|A3-55340-128|D4-55500-256|B3-55500-256|D4-55820-128|B3-55820-128|E4-55980-256|C#4-55980-256|E4-56300-128|C#4-56300-128|F#4-56460-256|D4-56460-256|F#4-56780-128|D4-56780-128|E4-56940-256|C#4-56940-256|E4-57260-128|C#4-57260-128|B3-57420-256|D4-57420-256|B3-57740-128|D4-57740-128|C#4-57900-256|A3-57900-256|C#4-58220-128|A3-58220-128|C#4-58380-128|E4-58540-128|C#4-58700-128|D4-58860-128|F#4-59020-128|D4-59180-128|E4-59340-128|G4-59500-128|E4-59660-128|F#4-59820-128|A4-59980-128|F#4-60140-128|G4-60300-128|B4-60460-128|G4-60620-128|F#4-60780-128|A4-60940-128|F#4-61100-128|E4-61260-128|G4-61420-128|E4-61580-128|D4-61740-128|F#4-61900-128|D4-62060-128|B3-62220-256|G#3-62220-256|B3-62540-128|G#3-62540-128|C#4-62700-256|A3-62700-256|C#4-63020-128|A3-63020-128|D4-63180-256|B3-63180-256|D4-63500-128|B3-63500-128|E4-63660-256|C#4-63660-256|E4-63980-128|C#4-63980-128|F#4-64140-256|D4-64140-256|F#4-64460-128|D4-64460-128|E4-64620-256|C#4-64620-256|E4-64940-128|C#4-64940-128|D4-65100-256|B3-65100-256|D4-65420-128|B3-65420-128
G#4-115840-300|F#5-116620-128|B4-116620-128|A4-116620-128|D#4-116620-128|B3-116620-128|F#5-116780-256|B4-116780-256|A4-116780-256|D#4-116780-256|B3-116780-256,F#5-117100-128|B4-117100-128|A4-117100-128|D#4-117100-128|B3-117100-128|F#5-117260-256|B4-117260-256|A4-117260-256|D#4-117260-256|B3-117260-256|F#5-117580-128|B4-117580-128|A4-117580-128|D#4-117580-128|B3-117580-128|B3-117740-116|D#4-117740-116|A4-117740-116|B4-117740-116|F#5-117740-140|E4-118040-256|B3-118040-256|E4-118360-128|A4-118520-80|E5-118604-128|D5-118764-128|B4-118924-128|E5-119084-128|D5-119244-128|B4-119404-128|E5-119564-128|G#4-119564-128|A3-119724-256|E4-119724-256|A3-120044-128|D4-120204-80|A4-120288-128|G4-120448-128|E4-120608-128|A4-120768-128|G4-120928-128|E4-121088-128|C#4-121248-128|E4-121408-256|B3-121408-256|E4-121728-128|A4-121888-80|E5-121972-128|D5-122132-128|B4-122292-128|E5-122452-128|D5-122612-128|B4-122772-128|G#4-122932-128|E4-123092-256|B3-123092-256|E4-123412-128|A4-123572-80|E5-123656-128|D5-123816-128|B4-123976-128|E5-124136-128|D5-124296-128|B4-124456-128|G#4-124616-128|E4-124776-256|A3-124776-256|A3-125096-128|D4-125256-80|A4-125340-128|G4-125500-128|A4-125660-128|A4-125820-128|G4-125980-128|E4-126140-128|C#4-126300-128|E4-126460-256|A3-126460-256|A3-126780-128|D4-126940-80|A4-127024-128|G4-127184-256|G4-127504-128|A4-127664-128|G4-127824-128|A4-127984-128|E4-128144-256|B3-128144-256|E4-128464-128|A4-128624-80|E5-128708-128|D5-128868-128|B4-129028-128|E5-129188-128|D5-129348-128|B4-129508-128|G#4-129668-128|E4-129828-256|B3-129828-256|E4-130148-128
D#5-20852-128|D5-21012-128|A#5-21172-128|D5-21332-128|C#5-21492-384|A4-21972-128|B4-22132-128|C5-22292-128|C#5-22452-128|A5-22612-128|C#5-22772-128|C5-22932-128|G#5-23092-128|C5-23252-128|B4-23412-256|G5-23732-128|E5-23892-128|D5-24052-128|B4-24212-128|E5-24372-128|B4-24372-128|E5-24532-128|B4-24532-128,E5-24692-128|B4-24692-128|D5-24852-128|B4-24852-128|D5-25012-128|B4-25012-128|D5-25172-128|B4-25172-128|C#5-25332-128|A4-25332-128|C#5-25492-128|A4-25492-128|C#5-25652-128|A4-25652-128|C5-25812-140|G#4-25812-140|F#5-26612-128|B4-26612-128|A4-26612-128|D#4-26612-128|B3-26612-128|F#5-26772-256|B4-26772-256|A4-26772-256|D#4-26772-256|B3-26772-256|F#5-27092-128|B4-27092-128|A4-27092-128|D#4-27092-128|B3-27092-128|F#5-27252-256|B4-27252-256|A4-27252-256|D#4-27252-256|B3-27252-256|F#5-27572-128|B4-27572-128|A4-27572-128|D#4-27572-128|B3-27572-128|F#5-27732-140|B4-27732-140|A4-27732-140|D#4-27732-140|B3-27732-140|B5-28212-128|G#5-28212-128|B5-28372-128|G#5-28372-128|B5-28532-128|G#5-28532-128|G#5-28692-128|C#6-28692-128|G#5-28852-128|C#6-28852-128|G#5-29012-128|C#6-29012-128|G#5-29172-128|B5-29172-128|G#5-29332-128|B5-29332-128|G#5-29492-128|B5-29492-128|G#5-29652-128|C#6-29652-128|G#5-29812-128|C#6-29812-128|G#5-29972-128|C#6-29972-128|G5-30132-128|B5-30132-128|G5-30292-128|B5-30292-128|G5-30452-128|B5-30452-128|G5-30612-128|C#6-30612-128|G5-30772-128|C#6-30772-128|G5-30932-128|C#6-30932-128|G5-31092-128|B5-31092-128|G5-31252-128|B5-31252-128|G5-31412-128|B5-31412-128|G5-31572-256|C#6-31572-256|G5-31892-128|B5-31892-128|B5-32052-256|G#5-32052-256|G#5-32372-128|E5-32372-128|G#5-32532-256|E5-32532-256|G#5-32852-4|E5-32852-4
E5-27348-1428|B3-28796-1872|B4-29272-1424|F#4-29284-1412|F#3-30224-472|E4-30720-1896|B4-31188-1428|E5-31188-1428|A3-32640-1896|A4-33136-480|E4-33148-488|A4-34064-472|E4-34076-460|E4-34568-1892|B4-35032-876,E5-35032-900|B3-35532-2324|E5-35984-856|B4-35996-864|E4-36504-1828|E5-36948-1428|B4-36956-1420|B3-37888-488|A3-38408-1892|E4-38872-876|A4-38872-900|E3-39372-2324|A4-39824-856|E4-39836-864|A3-40344-1828|A4-40788-1428|E4-40796-1420|E3-41728-488|E4-42240-1972|E5-42736-480|B4-42748-488|E5-43664-516|B4-43676-504|E5-44604-528|B4-44604-540|E5-45580-476|B4-45592-464|B3-46080-1896|F#4-46548-1428|B4-46548-1428|A3-47992-1904|A4-48456-900|E4-48468-876|E3-48996-900|A4-49420-476|E4-49428-468|E4-49920-1896|B4-50388-1428|E5-50388-1428|B3-51848-1888|F#4-52312-876|B4-52312-900|F#3-52812-924|B4-53264-472|F#4-53276-460|E4-53760-1896|B4-54228-1428|E5-54228-1428|A3-55688-1888|E4-56152-876|A4-56152-900|E3-56652-924|A4-57104-472|E4-57116-460|E4-57596-1872|E5-58072-1816|B4-58084-1804|B3-59024-1912|E4-59500-1868|A#4-59976-8|E5-59984-1432|B4-59984-1432|B3-60960-456|A3-61448-1892|E4-61912-876|A4-61912-900|E3-62412-2324|A4-62864-856|E4-62876-864|A3-63384-1828|A4-63828-1428|E4-63836-1420|E3-64768-488|E4-65288-1892|B4-65752-876|E5-65752-900|B3-66252-2324|E5-66704-856|B4-66716-864|E4-67224-1828|E5-67668-1428|B4-67676-1420|B3-68608-488|B3-69120-1896|F#4-69588-1428|B4-69588-1428|A3-71036-1872|A4-71512-1424|E4-71524-1412|E3-72464-472|E4-72952-1448|E5-73396-1460|B4-73408-1448|B3-73944-412|D4-74388-412|B3-74888-1888|F#4-75352-876|B4-75352-900|F#3-75852-924|B4-76304-472
E4-76800-1896|B4-77268-1428|E5-77268-1428|A3-78720-1896|A4-79216-480|E4-79228-488|A4-80144-472|E4-80156-460|E4-80632-1904,E5-81096-900|B4-81108-876|B3-81636-1860|E5-82060-864|B4-82068-868|E4-82556-1852|E5-83012-896|B4-83024-884|B3-83528-888|E5-83972-412|B4-83984-412|A3-84472-1904|A4-84936-900|E4-84948-876|E3-85476-1860|A4-85900-864|E4-85908-868|A3-86396-1852|A4-86852-896|E4-86864-884|E3-87368-888|A4-87812-412|E4-87824-412|E4-88328-1892|B4-88792-876|E5-88792-900|B3-89292-2324|E5-89744-856|B4-89756-864|E4-90264-1828|E5-90708-1428|B4-90716-1420|B3-91648-488|B3-92160-1896|F#4-92628-1428|B4-92628-1428|A3-94080-1896|A4-94576-480|E4-94588-488|A4-95504-472|E4-95516-460|E4-95992-1448|E5-96436-1460|B4-96448-1448|B3-96984-412|D4-97428-412|B3-97912-1904|B4-98376-900|F#4-98388-876|F#3-98916-900|B4-99340-476|F#4-99348-468|E4-99832-1448|E5-100276-1460|B4-100288-1448|B3-100824-412|D4-101268-412|A3-101760-1896|A4-102256-480|E4-102268-488|A4-103184-472|E4-103196-460|E4-103680-1972|E5-104176-480|B4-104188-488|E5-105104-516|B4-105116-504|E5-106044-528|B4-106044-540|E5-107020-476|B4-107032-464|A3-107520-1972|A4-108016-480|E4-108028-488|A4-108944-516|E4-108956-504|A4-109884-528|E4-109884-540|A4-110860-476|E4-110872-464|E4-111356-1872|E5-111832-1816|B4-111844-1804|B3-112784-1912|E4-113260-1868|A#4-113736-8|E5-113744-1432|B4-113744-1432|B3-114720-456|B3-115200-1896|F#4-115668-1428|B4-115668-1428|A3-117128-1888|E4-117592-876|A4-117592-900|E3-118092-924|A4-118544-472|E4-118556-460|E4-119032-1448|E5-119476-1460
E3-62412-2324|A4-62864-856|E4-62876-864|A3-63384-1828|A4-63828-1428|E4-63836-1420|E3-64768-488|E4-65288-1892|B4-65752-876|E5-65752-900|B3-66252-2324|E5-66704-856|B4-66716-864|E4-67224-1828|E5-67668-1428|B4-67676-1420|B3-68608-488|B3-69120-1896|F#4-69588-1428,B4-69588-1428|A3-71036-1872|A4-71512-1424|E4-71524-1412|E3-72464-472|E4-72952-1448|E5-73396-1460|B4-73408-1448|B3-73944-412|D4-74388-412|B3-74888-1888|F#4-75352-876|B4-75352-900|F#3-75852-924|B4-76304-472|F#4-76316-460|E4-76800-1896|B4-77268-1428|E5-77268-1428|A3-78720-1896|A4-79216-480|E4-79228-488|A4-80144-472|E4-80156-460|E4-80632-1904|E5-81096-900|B4-81108-876|B3-81636-1860|E5-82060-864|B4-82068-868|E4-82556-1852|E5-83012-896|B4-83024-884|B3-83528-888|E5-83972-412|B4-83984-412|A3-84472-1904|A4-84936-900|E4-84948-876|E3-85476-1860|A4-85900-864|E4-85908-868|A3-86396-1852|A4-86852-896|E4-86864-884|E3-87368-888|A4-87812-412|E4-87824-412|E4-88328-1892|B4-88792-876|E5-88792-900|B3-89292-2324|E5-89744-856|B4-89756-864|E4-90264-1828|E5-90708-1428|B4-90716-1420|B3-91648-488|B3-92160-1896|F#4-92628-1428|B4-92628-1428|A3-94080-1896|A4-94576-480|E4-94588-488|A4-95504-472|E4-95516-460|E4-95992-1448|E5-96436-1460|B4-96448-1448|B3-96984-412|D4-97428-412|B3-97912-1904|B4-98376-900|F#4-98388-876|F#3-98916-900|B4-99340-476|F#4-99348-468|E4-99832-1448|E5-100276-1460|B4-100288-1448|B3-100824-412|D4-101268-412|A3-101760-1896|A4-102256-480|E4-102268-488|A4-103184-472|E4-103196-460|E4-103680-1972|E5-104176-480|B4-104188-488|E5-105104-516|B4-105116-504|E5-106044-528|B4-106044-540|E5-107020-476|B4-107032-464|A3-107520-1972|A4-108016-480|E4-108028-488|A4-108944-516
B4-20636-864|E4-21144-1828|E5-21588-1428|B4-21596-1420|B3-22528-488|B3-23040-1896|F#4-23508-1428|B4-23508-1428|A3-24960-1896|A4-25456-480|E4-25468-488|A4-26384-472|E4-26396-460|E4-26880-1896,B4-27348-1428|E5-27348-1428|B3-28796-1872|B4-29272-1424|F#4-29284-1412|F#3-30224-472|E4-30720-1896|B4-31188-1428|E5-31188-1428|A3-32640-1896|A4-33136-480|E4-33148-488|A4-34064-472|E4-34076-460|E4-34568-1892|B4-35032-876|E5-35032-900|B3-35532-2324|E5-35984-856|B4-35996-864|E4-36504-1828|E5-36948-1428|B4-36956-1420|B3-37888-488|A3-38408-1892|E4-38872-876|A4-38872-900|E3-39372-2324|A4-39824-856|E4-39836-864|A3-40344-1828|A4-40788-1428|E4-40796-1420|E3-41728-488|E4-42240-1972|E5-42736-480|B4-42748-488|E5-43664-516|B4-43676-504|E5-44604-528|B4-44604-540|E5-45580-476|B4-45592-464|B3-46080-1896|F#4-46548-1428|B4-46548-1428|A3-47992-1904|A4-48456-900|E4-48468-876|E3-48996-900|A4-49420-476|E4-49428-468|E4-49920-1896|B4-50388-1428|E5-50388-1428|B3-51848-1888|F#4-52312-876|B4-52312-900|F#3-52812-924|B4-53264-472|F#4-53276-460|E4-53760-1896|B4-54228-1428|E5-54228-1428|A3-55688-1888|E4-56152-876|A4-56152-900|E3-56652-924|A4-57104-472|E4-57116-460|E4-57596-1872|E5-58072-1816|B4-58084-1804|B3-59024-1912|E4-59500-1868|A#4-59976-8|E5-59984-1432|B4-59984-1432|B3-60960-456|A3-61448-1892|E4-61912-876|A4-61912-900|E3-62412-2324|A4-62864-856|E4-62876-864|A3-63384-1828|A4-63828-1428|E4-63836-1420|E3-64768-488|E4-65288-1892|B4-65752-876|E5-65752-900|B3-66252-2324|E5-66704-856|B4-66716-864|E4-67224-1828|E5-67668-1428|B4-67676-1420|B3-68608-488|B3-69120-1896
E5-35032-900|B3-35532-2324|E5-35984-856|B4-35996-864|E4-36504-1828|E5-36948-1428|B4-36956-1420|B3-37888-488|A3-38408-1892|E4-38872-876|A4-38872-900|E3-39372-2324|A4-39824-856|E4-39836-864,A3-40344-1828|A4-40788-1428|E4-40796-1420|E3-41728-488|E4-42240-1972|E5-42736-480|B4-42748-488|E5-43664-516|B4-43676-504|E5-44604-528|B4-44604-540|E5-45580-476|B4-45592-464|B3-46080-1896|F#4-46548-1428|B4-46548-1428|A3-47992-1904|A4-48456-900|E4-48468-876|E3-48996-900|A4-49420-476|E4-49428-468|E4-49920-1896|B4-50388-1428|E5-50388-1428|B3-51848-1888|F#4-52312-876|B4-52312-900|F#3-52812-924|B4-53264-472|F#4-53276-460|E4-53760-1896|B4-54228-1428|E5-54228-1428|A3-55688-1888|E4-56152-876|A4-56152-900|E3-56652-924|A4-57104-472|E4-57116-460|E4-57596-1872|E5-58072-1816|B4-58084-1804|B3-59024-1912|E4-59500-1868|A#4-59976-8|E5-59984-1432|B4-59984-1432|B3-60960-456|A3-61448-1892|E4-61912-876|A4-61912-900|E3-62412-2324|A4-62864-856|E4-62876-864|A3-63384-1828|A4-63828-1428|E4-63836-1420|E3-64768-488|E4-65288-1892|B4-65752-876|E5-65752-900|B3-66252-2324|E5-66704-856|B4-66716-864|E4-67224-1828|E5-67668-1428|B4-67676-1420|B3-68608-488|B3-69120-1896|F#4-69588-1428|B4-69588-1428|A3-71036-1872|A4-71512-1424|E4-71524-1412|E3-72464-472|E4-72952-1448|E5-73396-1460|B4-73408-1448|B3-73944-412|D4-74388-412|B3-74888-1888|F#4-75352-876|B4-75352-900|F#3-75852-924|B4-76304-472|F#4-76316-460|E4-76800-1896|B4-77268-1428|E5-77268-1428|A3-78720-1896|A4-79216-480|E4-79228-488|A4-80144-472|E4-80156-460|E4-80632-1904|E5-81096-900|B4-81108-876|B3-81636-1860|E5-82060-864
G3-16812-424|A3-17280-1436|E4-17760-808|A4-17760-1428|E4-18568-620|C4-18720-424|E4-19200-1400|E5-19680-960|B4-19680-960|B4-20640-940|E5-20640-960|E4-20640-1892|B4-21600-916|E5-21600-972|B4-22560-12|E4-22560-480|E5-22572-288|B4-22572-468|E5-22880-160|B3-23040-1452|F#4-23520-1440|B4-23520-1440|C#5-23520-1440|F#3-24320-136|A3-24480-12|A3-24492-424|A3-24960-1400|A4-25440-960|E4-25440-960|A4-26400-480|E4-26400-480,A3-26400-480|E4-26880-1400|E5-27360-960|B4-27360-960|E5-28320-480|B4-28320-480|E4-28320-480|B3-28800-1400|B4-29280-960|F#4-29280-960|B4-30240-480|F#4-30240-480|B3-30240-480|E4-30720-1452|B4-31200-1440|E5-31200-1440|F#5-31200-1440|B3-32000-136|D4-32160-12|D4-32172-424|A3-32640-1452|E4-33120-1440|A4-33120-1440|B4-33120-1440|E3-33920-136|G3-34080-12|G3-34092-424|E4-34560-1452|B4-35040-1860|E5-35040-1920|F#5-35040-3012|B3-35840-136|D4-36000-12|D4-36012-424|E4-36480-1436|B4-36960-808|E5-36960-1428|B4-37768-620|G4-37920-424|A3-38400-1920|E4-38880-960|B4-38880-964|A4-38880-964|E4-39840-964|A4-39844-956|A3-40800-1016|E4-40804-1436|A4-40804-1436|E3-41600-160|G3-41760-56|A3-41816-424|G3-41816-424|E4-42240-1920|B4-42720-960|F#5-42720-964|E5-42720-964|B4-43680-964|E5-43684-956|E4-44640-1016|B4-44644-1436|E5-44644-1436|B3-45440-160|D4-45600-56|E4-45656-424|D4-45656-424|B3-46080-1452|F#4-46560-1440|B4-46560-1440|C#5-46560-1440|F#3-47360-136|A3-47520-12|A3-47532-424|A3-48000-1400|A4-48480-960|E4-48480-960|A4-49440-480|E4-49440-480|A3-49440-480|E4-49920-1400|E5-50400-960|B4-50400-960|E5-51360-480|B4-51360-480|E4-51360-480|B3-51840-1920|F#4-52320-960|C#5-52320-964|B4-52320-964|F#4-53280-480|B4-53284-476|E4-53760-1920|B4-54240-960|F#5-54240-964|E5-54240-964|B4-55200-480|E5-55204-476|A3-55680-1920|E4-56160-960|B4-56160-964|A4-56160-964
B4-15840-3012|E3-16640-136|G3-16800-12|G3-16812-424|A3-17280-1436|E4-17760-808|A4-17760-1428|E4-18568-620|C4-18720-424|E4-19200-1400|E5-19680-960|B4-19680-960|B4-20640-940,E5-20640-960|E4-20640-1892|B4-21600-916|E5-21600-972|B4-22560-12|E4-22560-480|E5-22572-288|B4-22572-468|E5-22880-160|B3-23040-1452|F#4-23520-1440|B4-23520-1440|C#5-23520-1440|F#3-24320-136|A3-24480-12|A3-24492-424|A3-24960-1400|A4-25440-960|E4-25440-960|A4-26400-480|E4-26400-480|A3-26400-480|E4-26880-1400|E5-27360-960|B4-27360-960|E5-28320-480|B4-28320-480|E4-28320-480|B3-28800-1400|B4-29280-960|F#4-29280-960|B4-30240-480|F#4-30240-480|B3-30240-480|E4-30720-1452|B4-31200-1440|E5-31200-1440|F#5-31200-1440|B3-32000-136|D4-32160-12|D4-32172-424|A3-32640-1452|E4-33120-1440|A4-33120-1440|B4-33120-1440|E3-33920-136|G3-34080-12|G3-34092-424|E4-34560-1452|B4-35040-1860|E5-35040-1920|F#5-35040-3012|B3-35840-136|D4-36000-12|D4-36012-424|E4-36480-1436|B4-36960-808|E5-36960-1428|B4-37768-620|G4-37920-424|A3-38400-1920|E4-38880-960|B4-38880-964|A4-38880-964|E4-39840-964|A4-39844-956|A3-40800-1016|E4-40804-1436|A4-40804-1436|E3-41600-160|G3-41760-56|A3-41816-424|G3-41816-424|E4-42240-1920|B4-42720-960|F#5-42720-964|E5-42720-964|B4-43680-964|E5-43684-956|E4-44640-1016|B4-44644-1436|E5-44644-1436|B3-45440-160|D4-45600-56|E4-45656-424|D4-45656-424|B3-46080-1452|F#4-46560-1440|B4-46560-1440|C#5-46560-1440|F#3-47360-136|A3-47520-12|A3-47532-424|A3-48000-1400|A4-48480-960|E4-48480-960|A4-49440-480|E4-49440-480|A3-49440-480|E4-49920-1400
