input,output
E4-103200-480|A3-103200-480|E4-103680-1452|B4-104160-1860|E5-104160-1920|F#5-104160-3012|B3-104960-136|D4-105120-12|D4-105132-424|E4-105600-1436|B4-106080-808|E5-106080-1428|B4-106888-620|G4-107040-424|A3-107520-1452|E4-108000-1860|A4-108000-1920|B4-108000-3012|E3-108800-136|G3-108960-12|G3-108972-424|A3-109440-1436|E4-109920-808|A4-109920-1428|E4-110728-620|C4-110880-424,E4-111360-1452|B4-111840-1860|E5-111840-1920|F#5-111840-3012|B3-112640-136|D4-112800-12|D4-112812-424|E4-113280-1436|B4-113760-808|E5-113760-1428|B4-114568-620|G4-114720-424|B3-115200-1400|B4-115680-960|F#4-115680-960|B4-116640-480|F#4-116640-480|B3-116640-480|A3-117120-1920|E4-117600-960|B4-117600-964|A4-117600-964|E4-118560-480|A4-118564-476|E4-119040-1452|B4-119520-1440|E5-119520-1440|F#5-119520-1440|B3-120320-136|D4-120480-12|D4-120492-424|B3-120960-1452|F#4-121440-1440|B4-121440-1440|C#5-121440-1440|F#3-122240-136|A3-122400-12|A3-122412-424|E4-122880-1452|B4-123360-1440|E5-123360-1440|F#5-123360-1440|B3-124160-136|D4-124320-12|D4-124332-424|A3-124800-1452|E4-125280-1440|A4-125280-1440|B4-125280-1440|E3-126080-136|G3-126240-12|G3-126252-424|E4-126720-1920|B4-127200-960|F#5-127200-964|E5-127200-964|B4-128160-964|E5-128164-956|E4-129120-1016|B4-129124-1436|E5-129124-1436|B3-129920-160|D4-130080-56|E4-130136-424|D4-130136-424|A3-130560-1400|A4-131040-960|E4-131040-960|A4-132000-480|E4-132000-480|A3-132000-480|A3-132480-1920|E4-132960-960|B4-132960-964|A4-132960-964|E4-133920-480|A4-133924-476|E4-134400-1452|B4-134880-1860|E5-134880-1920|F#5-134880-3012|B3-135680-136|D4-135840-12|D4-135852-424|E4-136320-1436|B4-136800-808|E5-136800-1428|B4-137608-620|G4-137760-424|B3-138240-1920|F#4-138720-960|C#5-138720-964|B4-138720-964|F#4-139680-480|B4-139684-476|A3-140160-1452|E4-140640-1440|A4-140640-1440|B4-140640-1440|E3-141440-136
E5-60004-1436|B3-60800-160|D4-60960-56|E4-61016-424|D4-61016-424|A3-61440-1400|A4-61920-960|E4-61920-960|E4-62880-940|A4-62880-960|A3-62880-1892|E4-63840-916|A4-63840-972|E4-64800-12|A3-64800-480|A4-64812-288|E4-64812-468|A4-65120-160,E4-65280-1452|B4-65760-1860|E5-65760-1920|F#5-65760-3012|B3-66560-136|D4-66720-12|D4-66732-424|E4-67200-1436|B4-67680-808|E5-67680-1428|B4-68488-620|G4-68640-424|B3-69120-1400|B4-69600-960|F#4-69600-960|B4-70560-480|F#4-70560-480|B3-70560-480|A3-71040-1452|E4-71520-1440|A4-71520-1440|B4-71520-1440|E3-72320-136|G3-72480-12|G3-72492-424|E4-72960-1400|E5-73440-960|B4-73440-960|E5-74400-480|B4-74400-480|E4-74400-480|B3-74880-1920|F#4-75360-960|C#5-75360-964|B4-75360-964|F#4-76320-480|B4-76324-476|E4-76800-1920|B4-77280-960|F#5-77280-964|E5-77280-964|B4-78240-480|E5-78244-476|A3-78720-1920|E4-79200-960|B4-79200-964|A4-79200-964|E4-80160-480|A4-80164-476|E4-80640-1400|E5-81120-960|B4-81120-960|B4-82080-940|E5-82080-960|E4-82080-1892|B4-83040-916|E5-83040-972|B4-84000-12|E4-84000-480|E5-84012-288|B4-84012-468|E5-84320-160|A3-84480-1920|E4-84960-960|B4-84960-964|A4-84960-964|E4-85920-964|A4-85924-956|A3-86880-1016|E4-86884-1436|A4-86884-1436|E3-87680-160|G3-87840-56|A3-87896-424|G3-87896-424|E4-88320-1452|B4-88800-1860|E5-88800-1920|F#5-88800-3012|B3-89600-136|D4-89760-12|D4-89772-424|E4-90240-1436|B4-90720-808|E5-90720-1428|B4-91528-620|G4-91680-424|B3-92160-1400|B4-92640-960|F#4-92640-960|B4-93600-480|F#4-93600-480|B3-93600-480|A3-94080-1920|E4-94560-960|B4-94560-964|A4-94560-964|E4-95520-480|A4-95524-476|E4-96000-1452
A4-26400-480|E4-26400-480|A3-26400-480|E4-26880-1400|E5-27360-960|B4-27360-960|E5-28320-480|B4-28320-480|E4-28320-480|B3-28800-1400|B4-29280-960,F#4-29280-960|B4-30240-480|F#4-30240-480|B3-30240-480|E4-30720-1452|B4-31200-1440|E5-31200-1440|F#5-31200-1440|B3-32000-136|D4-32160-12|D4-32172-424|A3-32640-1452|E4-33120-1440|A4-33120-1440|B4-33120-1440|E3-33920-136|G3-34080-12|G3-34092-424|E4-34560-1452|B4-35040-1860|E5-35040-1920|F#5-35040-3012|B3-35840-136|D4-36000-12|D4-36012-424|E4-36480-1436|B4-36960-808|E5-36960-1428|B4-37768-620|G4-37920-424|A3-38400-1920|E4-38880-960|B4-38880-964|A4-38880-964|E4-39840-964|A4-39844-956|A3-40800-1016|E4-40804-1436|A4-40804-1436|E3-41600-160|G3-41760-56|A3-41816-424|G3-41816-424|E4-42240-1920|B4-42720-960|F#5-42720-964|E5-42720-964|B4-43680-964|E5-43684-956|E4-44640-1016|B4-44644-1436|E5-44644-1436|B3-45440-160|D4-45600-56|E4-45656-424|D4-45656-424|B3-46080-1452|F#4-46560-1440|B4-46560-1440|C#5-46560-1440|F#3-47360-136|A3-47520-12|A3-47532-424|A3-48000-1400|A4-48480-960|E4-48480-960|A4-49440-480|E4-49440-480|A3-49440-480|E4-49920-1400|E5-50400-960|B4-50400-960|E5-51360-480|B4-51360-480|E4-51360-480|B3-51840-1920|F#4-52320-960|C#5-52320-964|B4-52320-964|F#4-53280-480|B4-53284-476|E4-53760-1920|B4-54240-960|F#5-54240-964|E5-54240-964|B4-55200-480|E5-55204-476|A3-55680-1920|E4-56160-960|B4-56160-964|A4-56160-964|E4-57120-480|A4-57124-476|E4-57600-1920|B4-58080-960|F#5-58080-964|E5-58080-964|B4-59040-964|E5-59044-956|E4-60000-1016
B2-27852-484|C#3-28356-168|B2-28800-572|F#2-29760-496|E3-30720-560|B2-31680-572|A2-32640-592|E2-33600-572|E3-34560-592|B2-35520-572|E3-36480-560|B2-37440-560|A2-38400-592|E2-39360-572|A2-40320-560|E2-41280-560|E3-42240-572|B2-43200-496|E3-44160-604|B2-45120-536|B2-46080-560|F#2-47040-572|A2-48000-592,E2-48960-572|E3-49920-616|B2-50892-484|C#3-51396-168|B2-51840-572|F#2-52800-496|E3-53760-560|B2-54720-572|A2-55680-572|E2-56640-496|E3-57600-572|B2-58560-496|E3-59520-604|B2-60480-536|A2-61440-592|E2-62400-572|A2-63360-560|E2-64320-560|E3-65280-592|B2-66240-572|E3-67200-560|B2-68160-560|B2-69120-560|F#2-70080-572|A2-71040-572|E2-72000-496|E3-72960-616|B2-73932-484|C#3-74436-168|B2-74880-572|F#2-75840-496|E3-76800-560|B2-77760-572|A2-78720-592|E2-79680-572|E3-80640-592|B2-81600-572|E3-82560-560|B2-83520-560|A2-84480-572|E2-85440-496|A2-86400-604|E2-87360-536|E3-88320-572|B2-89280-496|E3-90240-604|B2-91200-536|B2-92160-560|F#2-93120-572|A2-94080-592|E2-95040-572|E3-96000-616|B2-96972-484|C#3-97476-168|B2-97920-592|F#2-98880-572|E3-99840-560|B2-100800-572|A2-101760-592|E2-102720-572|E3-103680-592|B2-104640-572|E3-105600-560|B2-106560-560|A2-107520-592|E2-108480-572|A2-109440-560|E2-110400-560|E3-111360-572|B2-112320-496|E3-113280-604|B2-114240-536|B2-115200-560|F#2-116160-572|A2-117120-592|E2-118080-572|E3-119040-616|B2-120012-484|C#3-120516-168|B2-120960-572|F#2-121920-496|E3-122880-560|B2-123840-572|A2-124800-592|E2-125760-572|E3-126720-572|B2-127680-496|E3-128640-604|B2-129600-536|A2-130560-560|E2-131520-572|A2-132480-592|E2-133440-572|E3-134400-592|B2-135360-572|E3-136320-560|B2-137280-560|B2-138240-560|F#2-139200-572|A2-140160-592
B2-4800-572|E3-5760-572|B2-6720-592|E3-7680-560|B2-8640-572|A2-9600-572|E2-10560-496|E3-11520-592|B2-12480-572,E3-13440-560|B2-14400-560|A2-15360-592|E2-16320-572|A2-17280-560|E2-18240-560|E3-19200-572|B2-20160-496|E3-21120-604|B2-22080-536|B2-23040-560|F#2-24000-572|A2-24960-572|E2-25920-496|E3-26880-616|B2-27852-484|C#3-28356-168|B2-28800-572|F#2-29760-496|E3-30720-560|B2-31680-572|A2-32640-592|E2-33600-572|E3-34560-592|B2-35520-572|E3-36480-560|B2-37440-560|A2-38400-592|E2-39360-572|A2-40320-560|E2-41280-560|E3-42240-572|B2-43200-496|E3-44160-604|B2-45120-536|B2-46080-560|F#2-47040-572|A2-48000-592|E2-48960-572|E3-49920-616|B2-50892-484|C#3-51396-168|B2-51840-572|F#2-52800-496|E3-53760-560|B2-54720-572|A2-55680-572|E2-56640-496|E3-57600-572|B2-58560-496|E3-59520-604|B2-60480-536|A2-61440-592|E2-62400-572|A2-63360-560|E2-64320-560|E3-65280-592|B2-66240-572|E3-67200-560|B2-68160-560|B2-69120-560|F#2-70080-572|A2-71040-572|E2-72000-496|E3-72960-616|B2-73932-484|C#3-74436-168|B2-74880-572|F#2-75840-496|E3-76800-560|B2-77760-572|A2-78720-592|E2-79680-572|E3-80640-592|B2-81600-572|E3-82560-560|B2-83520-560|A2-84480-572|E2-85440-496|A2-86400-604|E2-87360-536|E3-88320-572|B2-89280-496|E3-90240-604|B2-91200-536|B2-92160-560|F#2-93120-572|A2-94080-592|E2-95040-572|E3-96000-616|B2-96972-484|C#3-97476-168|B2-97920-592|F#2-98880-572|E3-99840-560|B2-100800-572|A2-101760-592|E2-102720-572|E3-103680-592|B2-104640-572
B2-20160-496|E3-21120-604|B2-22080-536|B2-23040-560|F#2-24000-572|A2-24960-572|E2-25920-496|E3-26880-616|B2-27852-484|C#3-28356-168|B2-28800-572|F#2-29760-496|E3-30720-560|B2-31680-572|A2-32640-592|E2-33600-572|E3-34560-592|B2-35520-572|E3-36480-560|B2-37440-560|A2-38400-592|E2-39360-572|A2-40320-560|E2-41280-560|E3-42240-572|B2-43200-496|E3-44160-604|B2-45120-536,B2-46080-560|F#2-47040-572|A2-48000-592|E2-48960-572|E3-49920-616|B2-50892-484|C#3-51396-168|B2-51840-572|F#2-52800-496|E3-53760-560|B2-54720-572|A2-55680-572|E2-56640-496|E3-57600-572|B2-58560-496|E3-59520-604|B2-60480-536|A2-61440-592|E2-62400-572|A2-63360-560|E2-64320-560|E3-65280-592|B2-66240-572|E3-67200-560|B2-68160-560|B2-69120-560|F#2-70080-572|A2-71040-572|E2-72000-496|E3-72960-616|B2-73932-484|C#3-74436-168|B2-74880-572|F#2-75840-496|E3-76800-560|B2-77760-572|A2-78720-592|E2-79680-572|E3-80640-592|B2-81600-572|E3-82560-560|B2-83520-560|A2-84480-572|E2-85440-496|A2-86400-604|E2-87360-536|E3-88320-572|B2-89280-496|E3-90240-604|B2-91200-536|B2-92160-560|F#2-93120-572|A2-94080-592|E2-95040-572|E3-96000-616|B2-96972-484|C#3-97476-168|B2-97920-592|F#2-98880-572|E3-99840-560|B2-100800-572|A2-101760-592|E2-102720-572|E3-103680-592|B2-104640-572|E3-105600-560|B2-106560-560|A2-107520-592|E2-108480-572|A2-109440-560|E2-110400-560|E3-111360-572|B2-112320-496|E3-113280-604|B2-114240-536|B2-115200-560|F#2-116160-572|A2-117120-592|E2-118080-572|E3-119040-616|B2-120012-484|C#3-120516-168|B2-120960-572|F#2-121920-496|E3-122880-560|B2-123840-572|A2-124800-592|E2-125760-572|E3-126720-572|B2-127680-496|E3-128640-604|B2-129600-536|A2-130560-560|E2-131520-572|A2-132480-592|E2-133440-572|E3-134400-592|B2-135360-572|E3-136320-560|B2-137280-560
B2-22080-536|B2-23040-560|F#2-24000-572|A2-24960-572|E2-25920-496|E3-26880-616|B2-27852-484|C#3-28356-168|B2-28800-572|F#2-29760-496|E3-30720-560|B2-31680-572,A2-32640-592|E2-33600-572|E3-34560-592|B2-35520-572|E3-36480-560|B2-37440-560|A2-38400-592|E2-39360-572|A2-40320-560|E2-41280-560|E3-42240-572|B2-43200-496|E3-44160-604|B2-45120-536|B2-46080-560|F#2-47040-572|A2-48000-592|E2-48960-572|E3-49920-616|B2-50892-484|C#3-51396-168|B2-51840-572|F#2-52800-496|E3-53760-560|B2-54720-572|A2-55680-572|E2-56640-496|E3-57600-572|B2-58560-496|E3-59520-604|B2-60480-536|A2-61440-592|E2-62400-572|A2-63360-560|E2-64320-560|E3-65280-592|B2-66240-572|E3-67200-560|B2-68160-560|B2-69120-560|F#2-70080-572|A2-71040-572|E2-72000-496|E3-72960-616|B2-73932-484|C#3-74436-168|B2-74880-572|F#2-75840-496|E3-76800-560|B2-77760-572|A2-78720-592|E2-79680-572|E3-80640-592|B2-81600-572|E3-82560-560|B2-83520-560|A2-84480-572|E2-85440-496|A2-86400-604|E2-87360-536|E3-88320-572|B2-89280-496|E3-90240-604|B2-91200-536|B2-92160-560|F#2-93120-572|A2-94080-592|E2-95040-572|E3-96000-616|B2-96972-484|C#3-97476-168|B2-97920-592|F#2-98880-572|E3-99840-560|B2-100800-572|A2-101760-592|E2-102720-572|E3-103680-592|B2-104640-572|E3-105600-560|B2-106560-560|A2-107520-592|E2-108480-572|A2-109440-560|E2-110400-560|E3-111360-572|B2-112320-496|E3-113280-604|B2-114240-536|B2-115200-560|F#2-116160-572|A2-117120-592|E2-118080-572|E3-119040-616|B2-120012-484|C#3-120516-168|B2-120960-572|F#2-121920-496|E3-122880-560|B2-123840-572
B2-4800-572|E3-5760-572|B2-6720-592|E3-7680-560|B2-8640-572|A2-9600-572|E2-10560-496|E3-11520-592|B2-12480-572|E3-13440-560|B2-14400-560|A2-15360-592|E2-16320-572|A2-17280-560|E2-18240-560,E3-19200-572|B2-20160-496|E3-21120-604|B2-22080-536|B2-23040-560|F#2-24000-572|A2-24960-572|E2-25920-496|E3-26880-616|B2-27852-484|C#3-28356-168|B2-28800-572|F#2-29760-496|E3-30720-560|B2-31680-572|A2-32640-592|E2-33600-572|E3-34560-592|B2-35520-572|E3-36480-560|B2-37440-560|A2-38400-592|E2-39360-572|A2-40320-560|E2-41280-560|E3-42240-572|B2-43200-496|E3-44160-604|B2-45120-536|B2-46080-560|F#2-47040-572|A2-48000-592|E2-48960-572|E3-49920-616|B2-50892-484|C#3-51396-168|B2-51840-572|F#2-52800-496|E3-53760-560|B2-54720-572|A2-55680-572|E2-56640-496|E3-57600-572|B2-58560-496|E3-59520-604|B2-60480-536|A2-61440-592|E2-62400-572|A2-63360-560|E2-64320-560|E3-65280-592|B2-66240-572|E3-67200-560|B2-68160-560|B2-69120-560|F#2-70080-572|A2-71040-572|E2-72000-496|E3-72960-616|B2-73932-484|C#3-74436-168|B2-74880-572|F#2-75840-496|E3-76800-560|B2-77760-572|A2-78720-592|E2-79680-572|E3-80640-592|B2-81600-572|E3-82560-560|B2-83520-560|A2-84480-572|E2-85440-496|A2-86400-604|E2-87360-536|E3-88320-572|B2-89280-496|E3-90240-604|B2-91200-536|B2-92160-560|F#2-93120-572|A2-94080-592|E2-95040-572|E3-96000-616|B2-96972-484|C#3-97476-168|B2-97920-592|F#2-98880-572|E3-99840-560|B2-100800-572|A2-101760-592|E2-102720-572|E3-103680-592|B2-104640-572|E3-105600-560|B2-106560-560|A2-107520-592|E2-108480-572|A2-109440-560|E2-110400-560
D3-44640-100|F#3-44960-100|F#3-45120-100|B2-45120-100|F#3-45600-100|D3-45600-100|F#3-46080-100|B2-46080-100|F#3-46400-100|F#3-46560-100|D3-46560-100|A#3-46880-100|F#3-47040-100|B2-47040-100|F#3-47360-100|F#3-47520-100|D3-47520-100|F#3-47840-100|F#3-48000-100|B2-48000-100,F#3-48320-100|F#3-48480-100|D3-48480-100|F#3-48800-100|F#3-48960-100|B2-48960-100|F#3-49280-100|F#3-49440-100|D3-49440-100|F#3-49760-100|F#3-49920-100|B2-49920-100|F#3-50240-100|F#3-50400-100|D3-50400-100|F#3-50720-100|F#3-50880-100|B2-50880-100|F#3-51200-100|F#3-51360-100|D3-51360-100|F#3-51680-100|B2-51840-100|F#3-52160-100|F#4-52320-100|F#3-52320-100|D3-52320-100|B2-52640-100|F#3-52800-100|A3-53120-100|B2-53120-100|F#4-53280-100|A3-53280-100|D3-53280-100|D3-53600-100|C#4-53760-100|F#3-53760-100|B2-53760-100|F#3-54080-100|F#3-54240-100|D3-54240-100|F#3-54560-100|F#3-54720-100|B2-54720-100|F#3-55040-100|F#3-55200-100|D3-55200-100|F#3-55520-100|F#3-55680-100|B2-55680-100|F#3-56000-100|F#3-56160-100|D3-56160-100|F#3-56480-100|F#3-56640-100|B2-56640-100|F#3-56960-100|F#3-57120-100|D3-57120-100|F#3-57440-100|F#3-57600-100|B2-57600-100|F#3-57920-100|F#3-58080-100|D3-58080-100|F#3-58400-100|F#3-58560-100|B2-58560-100|F#3-58880-100|F#3-59040-100|D3-59040-100|F#3-59360-100|F#3-59520-100|B2-59520-100|F#3-59840-100|F#3-60000-100|D3-60000-100|F#3-60320-100|F#3-60480-100|B2-60480-100|F#3-60800-100|F#3-60960-100|D3-60960-100|F#3-61280-100|F#3-61440-100|B2-61440-100|F#3-61760-100|F#3-61920-100|D3-61920-100|F#3-62240-100|F#3-62400-100|B2-62400-100|F#3-62720-100|F#3-62880-100|D3-62880-100|F#3-63200-100|F#3-63360-100|B2-63360-100|F#3-63680-100|F#3-63840-100
C#4-122880-100|F#3-122880-100|B2-122880-100|F#3-123200-100|F#3-123360-100|D3-123360-100|F#3-123680-100|F#3-123840-100,B2-123840-100|F#3-124160-100|F#3-124320-100|D3-124320-100|F#3-124640-100|F#3-124800-100|B2-124800-100|F#3-125120-100|F#3-125280-100|D3-125280-100|F#3-125600-100|F#3-125760-100|B2-125760-100|F#3-126080-100|F#3-126240-100|D3-126240-100|F#3-126560-100|F#3-126720-100|B2-126720-100|F#3-127040-100|F#3-127200-100|D3-127200-100|F#3-127520-100|F#3-127680-100|B2-127680-100|F#3-128000-100|F#3-128160-100|D3-128160-100|F#3-128480-100|F#3-128640-100|B2-128640-100|F#3-128960-100|F#3-129120-100|D3-129120-100|F#3-129440-100|F#3-129600-100|B2-129600-100|F#3-129920-100|F#3-130080-100|D3-130080-100|F#3-130400-100|F#3-130560-100|B2-130560-100|F#3-130880-100|F#3-131040-100|D3-131040-100|F#3-131360-100|F#3-131520-100|B2-131520-100|F#3-131840-100|F#3-132000-100|D3-132000-100|F#3-132320-100|F#3-132480-100|B2-132480-100|F#3-132800-100|F#3-132960-100|D3-132960-100|F#3-133280-100|B2-133280-100|F#3-133440-100|F#3-133760-100|B2-133760-100|F#3-133920-100|D3-133920-100|F#3-134240-100|F#3-134400-100|B2-134400-100|F#3-134720-100|F#3-134880-100|D3-134880-100|F#3-135200-100|F#3-135360-100|B2-135360-100|F#3-135680-100|F#3-135840-100|D3-135840-100|F#3-136160-100|F#3-136320-100|B2-136320-100|F#3-136640-100|F#3-136800-100|D3-136800-100|F#3-137120-100|F#3-137280-100|B2-137280-100|F#3-137760-100|D3-137760-100|F#3-138240-100|B2-138240-100|F#3-138560-100|F#3-138720-100|D3-138720-100|F#3-139040-100|F#3-139200-100|B2-139200-100|F#3-139520-100|F#3-139680-100|D3-139680-100|F#3-140000-100
F#3-25440-100|D3-25440-100|F#3-25760-100|F#3-25920-100|B2-25920-100|F#3-26240-100|F#3-26400-100|D3-26400-100|F#3-26720-100|F#3-26880-100|B2-26880-100|F#3-27200-100|F#3-27360-100|D3-27360-100|A#3-27680-100|F#3-27840-100|B2-27840-100|F#3-28160-100|F#3-28320-100|D3-28320-100,F#3-28640-100|F#4-28800-100|F#3-28800-100|B2-28800-100|F#3-29120-100|F#4-29280-100|F#3-29280-100|D3-29280-100|F#3-29600-100|B2-29600-100|F#3-29760-100|A3-30080-100|F#3-30080-100|B2-30080-100|F#4-30240-100|F3-30240-100|F#3-30240-100|D3-30240-100|F#3-30560-100|D3-30560-100|C#4-30720-100|F#3-30720-100|B2-30720-100|F#3-31040-100|F#3-31200-100|D3-31200-100|F#3-31520-100|F#3-31680-100|B2-31680-100|F#3-32000-100|F#3-32160-100|D3-32160-100|F#3-32480-100|F#3-32640-100|B2-32640-100|F#3-32960-100|F#3-33120-100|D3-33120-100|F#3-33440-100|F#3-33600-100|B2-33600-100|F#3-33920-100|F#3-34080-100|D3-34080-100|F#3-34400-100|F#3-34560-100|B2-34560-100|F#3-34880-100|F#3-35040-100|D3-35040-100|F#3-35360-100|F#3-35520-100|B2-35520-100|F#3-35840-100|F#3-36000-100|D3-36000-100|F#3-36320-100|F#3-36480-100|B2-36480-100|A#3-36800-100|F#3-36960-100|D3-36960-100|F#3-37280-100|B2-37280-100|F#3-37440-100|F#3-37760-100|B2-37760-100|F#3-37920-100|D3-37920-100|F#3-38240-100|F#3-38400-100|B2-38400-100|F#3-38720-100|F#3-38880-100|D3-38880-100|F#3-39200-100|F#3-39360-100|B2-39360-100|F#3-39680-100|F#3-39840-100|D3-39840-100|F#3-40160-100|F#3-40320-100|B2-40320-100|F#3-40640-100|F#3-40800-100|D3-40800-100|F#3-41120-100|B2-41120-100|F#3-41280-100|F#3-41600-100|B2-41600-100|F#3-41760-100|D3-41760-100|F#3-42080-100|F#3-42240-100|B2-42240-100|F#3-42560-100|F#3-42720-100|D3-42720-100
D3-54240-100|F#3-54560-100|F#3-54720-100|B2-54720-100|F#3-55040-100|F#3-55200-100|D3-55200-100|F#3-55520-100|F#3-55680-100|B2-55680-100|F#3-56000-100|F#3-56160-100|D3-56160-100|F#3-56480-100|F#3-56640-100|B2-56640-100|F#3-56960-100|F#3-57120-100|D3-57120-100|F#3-57440-100|F#3-57600-100|B2-57600-100|F#3-57920-100|F#3-58080-100|D3-58080-100|F#3-58400-100|F#3-58560-100|B2-58560-100,F#3-58880-100|F#3-59040-100|D3-59040-100|F#3-59360-100|F#3-59520-100|B2-59520-100|F#3-59840-100|F#3-60000-100|D3-60000-100|F#3-60320-100|F#3-60480-100|B2-60480-100|F#3-60800-100|F#3-60960-100|D3-60960-100|F#3-61280-100|F#3-61440-100|B2-61440-100|F#3-61760-100|F#3-61920-100|D3-61920-100|F#3-62240-100|F#3-62400-100|B2-62400-100|F#3-62720-100|F#3-62880-100|D3-62880-100|F#3-63200-100|F#3-63360-100|B2-63360-100|F#3-63680-100|F#3-63840-100|D3-63840-100|F#3-64160-100|B2-64160-100|F#3-64320-100|A#3-64640-100|B2-64640-100|F#3-64800-100|D3-64800-100|F#3-65120-100|F#3-65280-100|B2-65280-100|F#3-65600-100|F#3-65760-100|D3-65760-100|F#3-66080-100|F#3-66240-100|B2-66240-100|F#3-66560-100|F#3-66720-100|D3-66720-100|F#3-67040-100|F#3-67200-100|B2-67200-100|A#3-67520-100|F#3-67680-100|D3-67680-100|F#3-68000-100|B2-68000-100|F#3-68160-100|A#3-68480-100|B2-68480-100|F#3-68640-100|D3-68640-100|A#3-68960-100|F#3-69120-100|B2-69120-100|F#3-69440-100|F#3-69600-100|D3-69600-100|F#3-69920-100|F#3-70080-100|B2-70080-100|F#3-70400-100|F#3-70560-100|D3-70560-100|F#3-70880-100|F#3-71040-100|B2-71040-100|F#3-71360-100|F#3-71520-100|D3-71520-100|F#3-71840-100|F#3-72000-100|B2-72000-100|F#3-72320-100|F#3-72480-100|D3-72480-100|F#3-72800-100|F#3-72960-100|B2-72960-100|F#3-73280-100|F#3-73440-100|D3-73440-100|F#3-73760-100|F#3-73920-100|B2-73920-100|F#3-74240-100|F#3-74400-100
F#3-57120-100|D3-57120-100|F#3-57440-100|F#3-57600-100|B2-57600-100|F#3-57920-100|F#3-58080-100|D3-58080-100|F#3-58400-100|F#3-58560-100|B2-58560-100|F#3-58880-100|F#3-59040-100|D3-59040-100|F#3-59360-100|F#3-59520-100|B2-59520-100|F#3-59840-100|F#3-60000-100|D3-60000-100|F#3-60320-100|F#3-60480-100|B2-60480-100,F#3-60800-100|F#3-60960-100|D3-60960-100|F#3-61280-100|F#3-61440-100|B2-61440-100|F#3-61760-100|F#3-61920-100|D3-61920-100|F#3-62240-100|F#3-62400-100|B2-62400-100|F#3-62720-100|F#3-62880-100|D3-62880-100|F#3-63200-100|F#3-63360-100|B2-63360-100|F#3-63680-100|F#3-63840-100|D3-63840-100|F#3-64160-100|B2-64160-100|F#3-64320-100|A#3-64640-100|B2-64640-100|F#3-64800-100|D3-64800-100|F#3-65120-100|F#3-65280-100|B2-65280-100|F#3-65600-100|F#3-65760-100|D3-65760-100|F#3-66080-100|F#3-66240-100|B2-66240-100|F#3-66560-100|F#3-66720-100|D3-66720-100|F#3-67040-100|F#3-67200-100|B2-67200-100|A#3-67520-100|F#3-67680-100|D3-67680-100|F#3-68000-100|B2-68000-100|F#3-68160-100|A#3-68480-100|B2-68480-100|F#3-68640-100|D3-68640-100|A#3-68960-100|F#3-69120-100|B2-69120-100|F#3-69440-100|F#3-69600-100|D3-69600-100|F#3-69920-100|F#3-70080-100|B2-70080-100|F#3-70400-100|F#3-70560-100|D3-70560-100|F#3-70880-100|F#3-71040-100|B2-71040-100|F#3-71360-100|F#3-71520-100|D3-71520-100|F#3-71840-100|F#3-72000-100|B2-72000-100|F#3-72320-100|F#3-72480-100|D3-72480-100|F#3-72800-100|F#3-72960-100|B2-72960-100|F#3-73280-100|F#3-73440-100|D3-73440-100|F#3-73760-100|F#3-73920-100|B2-73920-100|F#3-74240-100|F#3-74400-100|D3-74400-100|F#3-74720-100|B2-74880-100|F#3-75200-100|F#4-75360-100|F#3-75360-100|D3-75360-100|B2-75680-100|F#3-75840-100|A3-76160-100|B2-76160-100|F#4-76320-100
